uri,rdfs_label,locn_geometry
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/0,Carril bici 0,"[[-6.3749874045,39.4489264105],[-6.37451857407,39.4490863579],[-6.37386069552,39.4493109496],[-6.37342023979,39.4494609032],[-6.37386069552,39.4493109496],[-6.37451857407,39.4490863579],[-6.3749874045,39.4489264105]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/1,Carril bici 1,"[[-6.3763224889,39.4531943735],[-6.3753614448,39.4534181461],[-6.37535236191,39.4534188949],[-6.37534168727,39.4534173108],[-6.3753319371,39.4534135882],[-6.37532445058,39.4534091321],[-6.37531822954,39.4534036291],[-6.37531339222,39.453396258],[-6.37396799872,39.4510185477],[-6.37314992697,39.4495776884],[-6.37314925937,39.4495685856],[-6.37315230666,39.4495573731],[-6.37315812443,39.4495468395],[-6.37316712515,39.4495377508],[-6.37321608278,39.4495210535],[-6.37498406312,39.4489180529]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/10,Carril bici 10,"[[-6.3730085636,39.449681297],[-6.37298338008,39.4496401336],[-6.37297561991,39.4496316539],[-6.37296415662,39.4496249708],[-6.37295178604,39.4496209307],[-6.37293526752,39.4496197739],[-6.37292184246,39.4496222908],[-6.37283058962,39.4496534454],[-6.37208821805,39.4499049888],[-6.37207620124,39.4499130214],[-6.3720690941,39.4499247687],[-6.37206610121,39.4499398995],[-6.37208116545,39.4499687875]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/100,Carril bici 100,"[[-6.35282997818,39.4909084993],[-6.35349628866,39.4903063653]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/101,Carril bici 101,"[[-6.35361949789,39.490197957],[-6.35424047272,39.4896370927]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/102,Carril bici 102,"[[-6.35428125973,39.4908504823],[-6.35422659972,39.4908362711],[-6.35418556787,39.4908265843],[-6.35414682302,39.4908207271],[-6.35410314168,39.4908167686],[-6.35407026634,39.4908159142],[-6.35402958247,39.4908157287],[-6.35399200585,39.4908193224],[-6.35396402995,39.4908224959],[-6.35390934204,39.490832774],[-6.35384192903,39.4908498503],[-6.35381068117,39.4908611148],[-6.35371587406,39.4909042055],[-6.35369347685,39.4909166393],[-6.35365636224,39.490940551],[-6.35362510404,39.4909618558],[-6.35346609449,39.4911019548],[-6.35332097998,39.491233233],[-6.35331781401,39.4912375007],[-6.35331794642,39.4912412084],[-6.35331898569,39.4912462071],[-6.35332372863,39.4912543597],[-6.35333006859,39.4912636071]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/103,Carril bici 103,"[[-6.35323117374,39.4913314848],[-6.35322356577,39.4913304647],[-6.35321354621,39.4913318242],[-6.35320494711,39.491338932],[-6.35259260274,39.491888703],[-6.35259052012,39.4918932071],[-6.35259068858,39.4918995619],[-6.35259334891,39.4919050208],[-6.35260256993,39.4919139106]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/104,Carril bici 104,"[[-6.35251832971,39.4919903133],[-6.35250589848,39.4919868546],[-6.35249731537,39.4919863415],[-6.35249048981,39.4919862918],[-6.35248096368,39.4919890385],[-6.35186454154,39.4925440973]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/105,Carril bici 105,"[[-6.33968102296,39.4760374586],[-6.33961610352,39.4760405107],[-6.3395173858,39.4760418164],[-6.33944599273,39.4760392093],[-6.33938462701,39.4760258102],[-6.33934638407,39.4760090505],[-6.33932035379,39.4759899772],[-6.3393032685,39.4759665703],[-6.33929468577,39.4759394681],[-6.33929381513,39.4759225511],[-6.33927795241,39.4758012745],[-6.33925648027,39.4757174726],[-6.339224343,39.4756392614],[-6.33917238533,39.4755415365],[-6.33908034419,39.4754225676],[-6.33896357522,39.4753189164],[-6.33888949594,39.4752661641],[-6.33877854634,39.4752017889],[-6.33869134251,39.4751573731],[-6.33849006903,39.4750743156],[-6.33822745395,39.4749882318],[-6.33779854846,39.4748507871],[-6.33670963012,39.4745036203],[-6.33620587374,39.4743797507],[-6.33579086263,39.4742885472],[-6.33468032993,39.4740428062],[-6.33373465391,39.4738399498],[-6.33338628776,39.473788194],[-6.33327345174,39.4737651823],[-6.33316147523,39.4737400224],[-6.33293973442,39.4736793392],[-6.3326526403,39.4736201338],[-6.33185726436,39.4734636756],[-6.33151857413,39.473399494],[-6.32962940321,39.4730678848],[-6.3295808834,39.4730548568],[-6.32955710824,39.4730452338],[-6.32954859678,39.4730382308],[-6.32955808404,39.4730197283],[-6.32957539514,39.4730070785],[-6.33010614932,39.4725660824]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/106,Carril bici 106,"[[-6.31959074006,39.470440015],[-6.32015280611,39.4705108413],[-6.32021974803,39.4705203271],[-6.32063938195,39.4706043178],[-6.32113650439,39.4707099838],[-6.32245639359,39.4709929368],[-6.32426306392,39.4713786265],[-6.32577677574,39.4717017058],[-6.32594232646,39.4717344471],[-6.32612112142,39.4717652238],[-6.32636445874,39.4717973762],[-6.32653274659,39.4718132421],[-6.32671396217,39.4718190318],[-6.32699108745,39.4718102003],[-6.3270629426,39.4718052904],[-6.32715324116,39.471792866],[-6.32724199341,39.4717751466],[-6.32740365738,39.4717374528],[-6.32763129971,39.4716686064],[-6.32780648756,39.471591594],[-6.32787652632,39.4715612635],[-6.32791802773,39.4715442498],[-6.32795437297,39.4715371204],[-6.32799503839,39.4715419454],[-6.32802497015,39.4715559967],[-6.32803595431,39.4715623621],[-6.32812132315,39.4716287873],[-6.32814923018,39.4716423955],[-6.32820591122,39.4716594438],[-6.32824425861,39.4716686611],[-6.32843408275,39.4717135516],[-6.32854143033,39.47174876],[-6.32859612949,39.4717711489],[-6.32864332109,39.471794277],[-6.32872138962,39.4718408062],[-6.32877980197,39.4718875319],[-6.32883326037,39.4719435445],[-6.32887814443,39.4719948445],[-6.32895207863,39.4720620251],[-6.32907782435,39.4721517913],[-6.32921284642,39.4722395015],[-6.32935366276,39.472315776],[-6.32950279518,39.4723843603],[-6.3295687466,39.4724088915],[-6.32972750738,39.4724628055],[-6.32982665711,39.472486276],[-6.32990181397,39.4724996728],[-6.32998831059,39.4725117093],[-6.33006023393,39.4725331359],[-6.33010614932,39.4725660824],[-6.33015671656,39.4725901363],[-6.33022042376,39.4726155795],[-6.33029394839,39.47264094],[-6.33046119723,39.4726840525],[-6.33079354572,39.4727614863],[-6.33101201279,39.4728099422],[-6.33182038043,39.4729903853],[-6.33223354035,39.4730794331],[-6.33232966075,39.4730912836],[-6.33240985137,39.4730987974],[-6.33258176113,39.4731017153],[-6.33271034777,39.4731063687],[-6.3327761572,39.4731073119],[-6.33286677647,39.4731099591],[-6.33293185493,39.4731108855],[-6.33312414479,39.473114164],[-6.33320362623,39.4731210937],[-6.33328458602,39.4731467777],[-6.33335225314,39.4731948481],[-6.33340732052,39.4732471676],[-6.33345360141,39.473304462],[-6.33346891463,39.473363244],[-6.33345180497,39.4734280895],[-6.33335510105,39.4737022901],[-6.33334391993,39.4737268524],[-6.33332039215,39.4737729719]]"
