Mun;Referen;N.Fijo ;D;Nlo;Nuc;Cvia;Descripción Vía               ;Npor;Es;Pl;Man;De;Superfic.;Om
088;7674015;5194756;U;001;000;1120;DISEMINADOS                   ;900 ;  ;00;   ;S ;  2400,41;MP
088;7674016;3136043;P;001;001;1120;DISEMINADOS                   ;046 ;  ;00;   ;V ;   104,50;MP
088;7674016;3136043;P;002;001;1120;DISEMINADOS                   ;046 ;  ;01;   ;V ;   104,50;MP
088;7674016;3136043;P;003;001;1120;DISEMINADOS                   ;046 ;  ;BH;   ;T ;    75,00;MI
088;7674016;3136043;P;004;001;1120;DISEMINADOS                   ;046 ;  ;00;   ;G ;   105,00;MI
088;7774015;5197320;J;001;001;1120;DISEMINADOS                   ;002W;  ;SM;   ;B ;    60,00;MI
088;7774015;5197320;J;002;001;1120;DISEMINADOS                   ;002W;  ;00;   ;V ;    60,00;MI
088;7774015;5197320;J;003;001;1120;DISEMINADOS                   ;002W;  ;00;   ;G ;    30,00;MI
088;7774015;5197320;J;004;001;1120;DISEMINADOS                   ;002W;  ;BH;   ;B ;    30,00;MI
088;7774016;5197322;C;001;001;1120;DISEMINADOS                   ;003W;  ;00;   ;V ;    40,00;MI
088;7873001;5197092;Y;001;001;1120;DISEMINADOS                   ;054 ;  ;00;   ;V ;    84,00;MI
088;7873001;5197092;Y;002;001;1120;DISEMINADOS                   ;054 ;  ;01;   ;V ;    84,00;MI
088;7874001;5197331;S;001;001;1120;DISEMINADOS                   ;010W;  ;00;   ;B ;   200,00;MI
088;7874002;5197330;K;001;001;1120;DISEMINADOS                   ;009W;  ;00;   ;B ;   525,00;MI
088;7874003;5197202;P;001;001;1120;DISEMINADOS                   ;047B;  ;00;   ;B ;   145,00;MI
088;7874003;5197202;P;002;001;1120;DISEMINADOS                   ;047B;  ;01;   ;V ;   145,00;MI
088;7874003;5197202;P;003;001;1120;DISEMINADOS                   ;047B;  ;BH;   ;V ;   145,00;MI
088;7874004;3136062;J;001;001;1120;DISEMINADOS                   ;048 ;  ;00;   ;B ;   156,00;MI
088;7874004;3136062;J;002;001;1120;DISEMINADOS                   ;048 ;  ;01;   ;V ;   156,00;MI
088;7874004;3136062;J;003;001;1120;DISEMINADOS                   ;048 ;  ;02;   ;V ;   156,00;MI
088;7874004;3136062;J;004;001;1120;DISEMINADOS                   ;048 ;  ;BH;   ;T ;   156,00;MI
088;7874005;3136045;Y;001;001;1120;DISEMINADOS                   ;047A;  ;00;   ;V ;   193,00;MI
088;7874005;3136045;Y;002;001;1120;DISEMINADOS                   ;047A;  ;01;   ;V ;   192,00;MI
088;7874005;3136045;Y;003;001;1120;DISEMINADOS                   ;047A;  ;SM;   ;G ;    47,00;MI
088;7874006;3136066;S;001;001;1120;DISEMINADOS                   ;045 ;  ;00;   ;V ;    97,00;MI
088;7874006;3136066;S;002;001;1120;DISEMINADOS                   ;045 ;  ;00;   ;G ;    35,00;MI
088;7874007;6038523;J;001;001;1120;DISEMINADOS                   ;041 ;  ;00;A  ;V ;    72,89;EU
